,name,city,office_number,address,latitude,longitude,school_distance,starbucks_distance,airport_distance
62,mobifriends,Barcelona,1,Albigesos 25-27 Bajos Ext.,41.41076,2.15085,546,2145,12896
63,*faircompanies,Barcelona,1,"Carrer Escudellers Blancs 7, 2",41.3803265,2.1762262,1849,385,12579
64,quimica_visual,Barcelona,1,,41.3723033,2.1560753,1615,624,10818
65,Veeva,Barcelona,1,Avinguda Diagonal 420,41.39785,2.16381,1131,583,13499
66,U-Play Studios,Barcelona,1,C/Liacuna 162-164,41.4063346,2.1920231,1323,145,14754
67,Iris Experience,Barcelona,1,186 RossellÃ³,41.3927014,2.156538,1015,749,12690
68,iContainers,Barcelona,1,Diputació 297,41.3763043,2.1752709,2162,636,12194
69,ERA Biotech,Barcelona,1,"Parc CientÃ­fic de Barcelona,",41.32489,2.09683,4612,2934,3665
71,SEPMAG Technologies,Barcelona,1,CENT. Parc Technologic del Valles,41.43896,2.21797,2443,1697,13228
72,Readspeaker,Barcelona,1,"Pl. Catalunya 9,1a",41.43228,2.2165,2842,1780,13666
73,Teambox,Barcelona,1,Ronda Universitat 31,41.4063346,2.1920231,1323,145,14754
75,Google,Madrid,1,Torre Picasso,40.45007,-3.6928,782,287,9055
76,Truphone,Madrid,1,"Gran Via, 6. 4th floor",40.41936,-3.69792,1561,191,8815
77,Fon,Madrid,1,Calle Quintanavides 15,40.530724,-3.632687,108,490,6747
78,Buongiorno,Madrid,1,Calle Javier Ferrero 13-15,40.4487974,-3.6697641,905,1766,7114
79,Swotti,Madrid,1,,40.416741,-3.70325,1338,97,8282
80,AsesorSeguros,Madrid,1,,40.497716,-3.647842,665,1058,5421
81,Allopass,Madrid,1,"VelÃ¡zquez 12, 7-8 planta",40.42022,-3.70196,1210,78,8615
82,eRepublik,Madrid,1,Almagro 22,40.43094,-3.6952896,1004,647,9559
83,Spotify,Madrid,1,"Eloy Gonzalo, 27, 6Âº",40.43473,-3.70044,904,334,9836
84,NotePub,Madrid,1,,40.416741,-3.70325,1338,97,8282
86,FeedzZ,Madrid,1,"Totana 2,3d",40.4722272,-3.6532523,1965,1742,5606
87,Just Landed,Madrid,1,"Calle Maestro Lasalle, 36",40.40348,-3.69672,1849,665,7911
88,Q-go,Madrid,1,Edificio Lexington,40.49969,-3.66062,438,223,6511
89,Q-go,Barcelona,1,C/Angel Guimera 22,41.396544,2.132385,502,694,12131
90,Pixelnews,Madrid,1,"Calle Alonso Heredia, 4  2ÂºE",40.43516,-3.67339,571,866,7648
91,Next Limit,Madrid,1,Ãngel Cavero 2,40.455219,-3.650703,1962,1450,5503
92,Veedia,Madrid,1,Calle Toronga 23,40.456586,-3.647013,2177,1110,5204
93,Cyloop,Madrid,1,Avda. de Bruselas 38-B 4,40.5288449,-3.6429907,969,418,7113
94,Solaiemes,Madrid,1,Av/ General Fanjul,40.382338,-3.773844,1505,3788,1508
95,YouLynx,Madrid,1,"Sor Angela de la Cruz, 2 - 14th floor",40.53955,-3.63295,1048,1117,7442
96,Videoplaza,Madrid,1,Forum Business Center c/ Capitán Haya,40.4596242,-3.6923285,1789,531,9050
97,AtelMedia,Madrid,1,,40.416741,-3.70325,1338,97,8282
98,Digital Assets Deployment,Madrid,1,Doctor Castelo 10,40.42046,-3.678121,1362,131,8569
99,Daily Flat Rental,Madrid,1,Lavapies 26 1A,40.412323,-3.703248,1709,581,7979
101,Softonic,Madrid,1,"Paseo de la Castellana , 180 1Âª planta",40.46323,-3.69012,2166,593,8857
102,Yerbabuena Software,Madrid,1,"Alessandro Volta 2, Oficina 18",40.43647,-3.68161,541,412,8292
103,Daily Flat Rental,Madrid,1,Lavapies 26 1A,40.412323,-3.703248,1709,581,7979
105,Softonic,Madrid,1,"Paseo de la Castellana , 180 1Âª planta",40.46323,-3.69012,2166,593,8857
106,Yerbabuena Software,Madrid,1,"Alessandro Volta 2, Oficina 18",40.43647,-3.68161,541,412,8292
107,Adoos,Madrid,1,"Calle Luis Garcia 5, 1 E",40.432883,-3.8166758,1627,2018,7765
108,doctor SIM,Madrid,1,Serrano 216,40.45205,-3.68087,788,882,8043
109,Wysiwyg,Madrid,1,Calle Aranjuez 7,40.4494619,-3.7077788,1343,1083,10323
110,metoCube,Madrid,1,Doctor Castelo 10,40.4204601,-3.6781213,1362,131,8569
111,net-m,Madrid,1,"Gran Via 6, 4e",40.41936,-3.69792,1561,191,8815
112,pomeloTV,Madrid,1,"Marques de Monteagudo,18",40.4367771,-3.6685036,515,1314,7203
113,MediBANK,Madrid,1,"Gobelas, 17",40.4718534,-3.8203307,2828,1528,11931
114,Meytel,Madrid,1,Villamiel de CÃ¡ceres 13,40.4511364,-3.6096649,292,1939,2025
116,Busuu,Madrid,1,"Calle Columela 2, 1D",40.4225487,-3.6830316,1752,284,8860
117,tarifas24,Madrid,1,,40.4304536,-3.7105118,719,415,8917
118,Publicadigital,Madrid,1,"C/ General DÃ­az Porlier 47, Bajo D",40.4291944,-3.6768945,1284,363,8119
119,Nayatek,Madrid,1,"Camino Cerro de los Gamos 1, Edif 1",40.46478,-3.80899,1979,288,10918
120,Entropy Computational Services,Madrid,1,"C/ Madrid 10, 2-B",40.4380872,-3.6760635,385,830,7796
121,Unkasoft Advergaming,Madrid,1,"Nieremberg 8, Bajo A",40.4474363,-3.6714915,709,1765,7269
122,citiservi,Madrid,1,"Barquillo 11, 4th Floor",40.42096,-3.69586,1667,293,9063
123,Nexway,Madrid,1,C/ Duque de FernÃ¡n NÃºÃ±ez NÂº2 2Âº Oficina 2,40.4142986,-3.7033074,1532,362,8108
124,"DAEDALUS - Data, Decisions and Language",Madrid,1,Lopez de Hoyos 15,40.4372542,-3.6866654,115,410,8693
125,"DAEDALUS - Data, Decisions and Language",Madrid,1,Edificio Vallausa II,40.49969,-3.66062,438,223,6511
126,Riverbed Technology,Madrid,1,"Paseo de la Castellana, 135",40.45958,-3.6914,1772,487,8971
127,Gennio,Madrid,1,"Diego de LeÃ³n, 47",40.4346935,-3.6782829,787,459,8062
128,Tata Communications,Madrid,1,"Avenida de Europa 4, Bajo A",41.6252901,-4.7261288,1234,5091,2824
129,Zankyou,Madrid,1,Faraday 7,40.6070897,-3.6912754,9920,8181,14761
130,Europa Press,Madrid,1,Paseo de la Castellana 210,40.4632,-3.68894,2160,532,8761
131,HREF,Madrid,1,"Ramon Fort 8, Block 2, 1C",40.47282,-3.66554,1706,2284,6624
132,Ohlala! Mobile,Madrid,1,Calle AlcalÃ¡ 302,40.4328978,-3.6496952,659,2320,5815
133,Weblogs SL,Madrid,1,"Plaza de Alonso Martinez 7, 1",40.42753,-3.69514,1312,345,9587
134,Comunitae,Madrid,1,Calle Nuria 29,40.4905109,-3.7033403,2303,1255,9826
135,LLONA,Madrid,1,"Cardenal Herrera Oria, 126",40.49048,-3.6971,2234,1484,9302
136,LLONA,Madrid,1,Cardenal Herrera Oria,40.48933,-3.69987,2378,1249,9520
137,Seguronline,Madrid,1,"C/ Bravo Murillo, 371, 1Âª",40.4654916,-3.691617,2427,870,8930
138,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,84,2031,3528
139,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,1643,2356,7740
140,ISID,Madrid,1,Calle Serano 77,40.4353746,-3.686534,299,202,8724
141,Sowre,Barcelona,1,Muntaner 231,41.3943671,2.1491951,722,1127,12535
142,Sowre,Madrid,1,"guzman el bueno, 133",40.4431637,-3.7125615,1422,1310,9936
143,Xeridia,Madrid,1,"Camino Cerro de los Gamos, nÂº1",40.46478,-3.80899,1979,288,10918
145,IMASTE,Madrid,1,Conde Peñalver 22,40.4272451,-3.6755166,1468,131,8080
146,PRISA,Madrid,1,"Gran VÃ­a, 32",40.4203,-3.70311,1119,25,8548
147,Tuenti Technologies,Madrid,1,Plaza Cortes 2,40.4158236,-3.696277,1869,125,8684
148,PowerVote,Madrid,1,"c/ Diego de leon, 47",40.4346935,-3.6782829,787,459,8062
149,Web Piston,Madrid,1,Alberto Alcocer 24,40.458178,-3.6845894,1525,137,8384
150,ASPgems,Madrid,1,Carrera de San Jeronimo 15,40.4165967,-3.6992667,1611,160,8535
151,Virgin Play,Madrid,1,"Paseo de la Castellana, 9-11",40.4273082,-3.6895115,1187,257,9199
152,Undead Code Studios,Madrid,1,,40.6367104,-3.9980485,1115,9987,16303
153,IntraWorlds,Madrid,1,"Fuencarral 93, 1d",40.426858,-3.7015237,1150,420,9143
154,Tagmore Solutions,Madrid,1,Serrano 16,40.4226918,-3.6883074,1691,436,9271
155,Taxi Fares app,Madrid,1,,40.4244585,-3.6990948,1336,207,9109
156,ticketea,Madrid,1,Marques de Lema,40.4455155,-3.7061764,997,962,10210
158,I6NET,Madrid,1,"C/ Magallanes, 13",40.4342873,-3.7056763,1214,178,9506
159,cost4travel,Madrid,1,"Calle Francisco Jose Arroyo, 6",40.4528711,-3.6149394,260,2150,2469
160,Genasys,Madrid,1,C/ Ventura de la Vega 5,40.4161835,-3.6988729,1665,210,8533
162,FRV,Madrid,1,Rafael Calvo 42,40.43393,-3.69027,491,293,9068
164,AdLINK Group,Madrid,1,affilinet Espana SLU,40.42307,-3.71193,322,92,8226
165,BuyVIP,Madrid,1,33. Edificio Atica 4 planta 2,40.4167413,-3.7032498,1338,97,8282
