,name,city,office_number,address,latitude,longitude,design_distance,school_distance,tech_distance,starbucks_distance,airport_distance,party_distance,vegan_distance,basketball_distance,dog_distance
132,Ohlala! Mobile,Madrid,1,Calle AlcalÃ¡ 302,40.4328978,-3.6496952,1435,659,1233,2320,5815,2874,3037,2124,1186
133,Weblogs SL,Madrid,1,"Plaza de Alonso Martinez 7, 1",40.42753,-3.69514,24,1312,508,345,9587,585,434,1135,1806
134,Comunitae,Madrid,1,Calle Nuria 29,40.4905109,-3.7033403,2430,2303,1900,1255,9826,1214,7221,6727,1610
135,LLONA,Madrid,1,"Cardenal Herrera Oria, 126",40.49048,-3.6971,2247,2234,1548,1484,9302,1389,7234,6776,1777
136,LLONA,Madrid,1,Cardenal Herrera Oria,40.48933,-3.69987,2437,2378,1562,1249,9520,1168,7094,6621,1564
137,Seguronline,Madrid,1,"C/ Bravo Murillo, 371, 1Âª",40.4654916,-3.691617,524,2427,568,870,8930,1269,4541,4176,1744
138,DOMODESK,Valencia,1,C/Alqueria de Benlloch 24,39.4612679,-0.3983456,866,84,1055,2031,3528,2120,1985,2961,1305
139,DOMODESK,Madrid,1,C/Arroyo de Fontarron 53,40.4033217,-3.6510254,2546,1643,2202,2356,7740,3027,2640,2880,3372
140,ISID,Madrid,1,Calle Serano 77,40.4353746,-3.686534,607,299,1195,202,8724,516,1556,1785,1488
141,Sowre,Barcelona,1,Muntaner 231,41.3943671,2.1491951,218,722,213,1127,12535,1220,1297,2901,1153
142,Sowre,Madrid,1,"guzman el bueno, 133",40.4431637,-3.7125615,1315,1422,581,1310,9936,1721,2057,1501,733
143,Xeridia,Madrid,1,"Camino Cerro de los Gamos, nÂº1",40.46478,-3.80899,8801,1979,657,288,10918,2773,9042,9359,7913
145,IMASTE,Madrid,1,Conde Peñalver 22,40.4272451,-3.6755166,262,1468,234,131,8080,912,1292,489,507
146,PRISA,Madrid,1,"Gran VÃ­a, 32",40.4203,-3.70311,291,1119,180,25,8548,1403,181,1167,1477
147,Tuenti Technologies,Madrid,1,Plaza Cortes 2,40.4158236,-3.696277,517,1869,184,125,8684,1839,904,1875,1014
148,PowerVote,Madrid,1,"c/ Diego de leon, 47",40.4346935,-3.6782829,684,787,651,459,8062,727,1994,1323,852
149,Web Piston,Madrid,1,Alberto Alcocer 24,40.458178,-3.6845894,996,1525,119,137,8384,414,3943,3703,2676
150,ASPgems,Madrid,1,Carrera de San Jeronimo 15,40.4165967,-3.6992667,557,1611,347,160,8535,1750,687,1675,1048
151,Virgin Play,Madrid,1,"Paseo de la Castellana, 9-11",40.4273082,-3.6895115,232,1187,485,257,9199,533,747,1545,1628
152,Undead Code Studios,Madrid,1,,40.6367104,-3.9980485,15558,1115,12542,9987,16303,2080,33503,467,14454
153,IntraWorlds,Madrid,1,"Fuencarral 93, 1d",40.426858,-3.7015237,206,1150,454,420,9143,675,185,664,1445
154,Tagmore Solutions,Madrid,1,Serrano 16,40.4226918,-3.6883074,511,1691,350,436,9271,941,761,1401,1697
155,Taxi Fares app,Madrid,1,,40.4244585,-3.6990948,157,1336,224,207,9109,878,135,987,1780
156,ticketea,Madrid,1,Marques de Lema,40.4455155,-3.7061764,1210,997,399,962,10210,1620,2238,1723,1145
158,I6NET,Madrid,1,"C/ Magallanes, 13",40.4342873,-3.7056763,229,1214,132,178,9506,682,1002,512,660
159,cost4travel,Madrid,1,"Calle Francisco Jose Arroyo, 6",40.4528711,-3.6149394,1600,260,1580,2150,2469,970,6720,5791,1962
160,Genasys,Madrid,1,C/ Ventura de la Vega 5,40.4161835,-3.6988729,591,1665,115,210,8533,1794,743,1731,1005
162,FRV,Madrid,1,Rafael Calvo 42,40.43393,-3.69027,645,491,842,293,9068,548,1254,1571,1731
164,AdLINK Group,Madrid,1,affilinet Espana SLU,40.42307,-3.71193,178,322,389,92,8226,1561,384,842,1502
165,BuyVIP,Madrid,1,33. Edificio Atica 4 planta 2,40.4167413,-3.7032498,228,1338,226,97,8282,1786,381,1538,1092
